name,market,date,open,high,low,close,volume,MA5,MA15,ma_signal,trade_signal,position,note
信达生物,港股,2025-09-02,105.4,108.5,103.0,105.3,15122561.0,97.84,97.7633,金叉,BUY,持仓,→ 次日(2025-09-03)开盘买入 @ 107.0
信达生物,港股,2025-09-03,107.0,109.0,103.7,107.0,13063627.0,101.04,98.5633,,HOLD,持仓,
信达生物,港股,2025-09-04,109.1,109.1,99.0,100.1,20809884.0,102.93,98.8367,,HOLD,持仓,
信达生物,港股,2025-09-05,100.1,104.2,98.5,103.1,19459787.0,104.18,99.21,,HOLD,持仓,
信达生物,港股,2025-09-08,104.0,107.5,98.55,100.5,27413434.0,103.2,99.1167,,HOLD,持仓,
信达生物,港股,2025-09-09,99.45,103.2,97.1,100.9,14814575.0,102.32,99.3267,,HOLD,持仓,
信达生物,港股,2025-09-10,101.0,103.4,98.05,99.6,12256843.0,100.84,99.6567,,HOLD,持仓,
信达生物,港股,2025-09-11,91.0,98.35,85.7,97.1,51240460.0,100.24,99.51,,HOLD,持仓,
信达生物,港股,2025-09-12,99.5,100.5,96.3,97.85,13419082.0,99.19,99.4033,死叉,SELL,空仓,→ 次日(2025-09-15)开盘卖出 @ 98.5 (盈亏: -7.94%)
信达生物,港股,2025-09-15,98.5,101.9,94.8,95.6,20045883.0,98.21,99.1133,,HOLD,空仓,
信达生物,港股,2025-09-16,97.5,98.0,93.8,96.25,14137833.0,97.28,99.1467,,HOLD,空仓,
信达生物,港股,2025-09-17,96.0,96.85,92.85,96.5,20913052.0,96.66,99.5133,,HOLD,空仓,
信达生物,港股,2025-09-18,97.0,98.55,94.0,97.35,16918205.0,96.71,99.96,,HOLD,空仓,
信达生物,港股,2025-09-19,97.5,98.3,90.0,92.05,34618371.0,95.55,99.64,,HOLD,空仓,
信达生物,港股,2025-09-22,93.2,95.5,91.55,94.7,13572187.0,95.37,98.9267,,HOLD,空仓,
信达生物,港股,2025-09-23,95.35,96.15,91.1,93.45,12486370.0,94.81,98.1367,,HOLD,空仓,
信达生物,港股,2025-09-24,93.1,95.7,91.9,95.05,13606787.0,94.52,97.34,,HOLD,空仓,
信达生物,港股,2025-09-25,96.0,96.75,94.0,95.05,10693475.0,94.06,97.0033,,HOLD,空仓,
信达生物,港股,2025-09-26,92.35,94.15,90.6,93.25,13980978.0,94.3,96.3467,,HOLD,空仓,
信达生物,港股,2025-09-29,94.0,95.5,91.35,93.6,12535427.0,94.08,95.8867,,HOLD,空仓,
信达生物,港股,2025-09-30,95.3,96.55,91.25,96.4,18545906.0,94.67,95.5867,,HOLD,空仓,
信达生物,港股,2025-10-02,96.8,101.5,96.15,100.7,6797155.0,95.8,95.66,金叉,BUY,持仓,→ 次日(2025-10-03)开盘买入 @ 101.8
信达生物,港股,2025-10-03,101.8,101.8,97.35,97.95,3578711.0,96.38,95.7167,,HOLD,持仓,
信达生物,港股,2025-10-06,98.6,100.5,96.8,100.5,3031024.0,97.83,95.8933,,HOLD,持仓,
信达生物,港股,2025-10-08,101.0,105.0,100.4,104.7,6194648.0,100.05,96.5,,HOLD,持仓,
信达生物,港股,2025-10-09,103.0,103.0,94.25,95.1,25616568.0,99.79,96.4233,,HOLD,持仓,
信达生物,港股,2025-10-10,95.1,97.55,93.4,93.95,13129629.0,98.44,96.2533,,HOLD,持仓,
信达生物,港股,2025-10-13,90.0,92.0,86.7,90.0,27147340.0,96.85,95.7633,,HOLD,持仓,
信达生物,港股,2025-10-14,91.5,92.05,82.75,83.8,31965432.0,93.51,95.2133,死叉,SELL,空仓,→ 次日(2025-10-15)开盘卖出 @ 85.05 (盈亏: -16.45%)
信达生物,港股,2025-10-15,85.05,85.9,80.85,85.6,17013032.0,89.69,94.6067,,HOLD,空仓,
信达生物,港股,2025-10-16,85.6,89.65,85.05,88.75,14176372.0,88.42,94.2933,,HOLD,空仓,
信达生物,港股,2025-10-17,90.85,90.85,86.0,86.85,13476448.0,87.0,93.7467,,HOLD,空仓,
信达生物,港股,2025-10-20,89.95,89.95,85.0,86.1,14492413.0,86.22,93.15,,HOLD,空仓,
信达生物,港股,2025-10-21,86.65,88.3,84.15,86.9,19316176.0,86.84,92.7267,,HOLD,空仓,
信达生物,港股,2025-10-22,95.5,95.5,83.85,85.2,71646053.0,86.76,92.1667,,HOLD,空仓,
信达生物,港股,2025-10-23,86.05,87.2,82.8,85.1,24155180.0,86.03,91.4133,,HOLD,空仓,
信达生物,港股,2025-10-24,86.05,88.1,84.85,85.55,15428703.0,85.77,90.4033,,HOLD,空仓,
信达生物,港股,2025-10-27,87.9,88.2,84.4,86.1,14919443.0,85.77,89.6133,,HOLD,空仓,
信达生物,港股,2025-10-28,86.0,86.35,83.7,84.6,13926367.0,85.31,88.5533,,HOLD,空仓,
信达生物,港股,2025-10-30,84.25,84.25,79.05,80.7,33551275.0,84.41,86.9533,,HOLD,空仓,
信达生物,港股,2025-10-31,81.55,87.8,80.2,87.0,24727884.0,84.79,86.4133,,HOLD,空仓,
信达生物,港股,2025-11-03,87.75,91.5,86.25,90.2,21863756.0,85.72,86.1633,,HOLD,空仓,
信达生物,港股,2025-11-04,90.6,91.35,86.5,86.85,12521229.0,85.87,85.9533,,HOLD,空仓,
信达生物,港股,2025-11-05,85.45,89.1,84.65,88.05,11850963.0,86.56,86.2367,金叉,BUY,持仓,→ 次日(2025-11-06)开盘买入 @ 87.2
信达生物,港股,2025-11-06,87.2,88.7,85.65,88.3,7751779.0,88.08,86.4167,,HOLD,持仓,
信达生物,港股,2025-11-07,88.5,89.5,84.2,85.2,10137618.0,87.72,86.18,,HOLD,持仓,
信达生物,港股,2025-11-10,85.1,85.7,82.0,84.5,13675288.0,86.58,86.0233,,HOLD,持仓,
信达生物,港股,2025-11-11,85.5,85.55,83.6,85.25,5987073.0,86.26,85.9667,,HOLD,持仓,
信达生物,港股,2025-11-12,86.0,89.0,84.75,87.15,8616404.0,86.08,85.9833,,HOLD,持仓,
信达生物,港股,2025-11-13,88.0,93.2,87.9,91.95,23311922.0,86.81,86.4333,,HOLD,持仓,
信达生物,港股,2025-11-14,91.1,94.3,90.65,92.25,9771054.0,88.22,86.91,,HOLD,持仓,
信达生物,港股,2025-11-17,92.3,92.45,88.1,90.8,7974109.0,89.48,87.26,,HOLD,持仓,
信达生物,港股,2025-11-18,90.8,93.45,89.35,90.4,6462932.0,90.51,87.5467,,HOLD,持仓,
信达生物,港股,2025-11-19,90.15,90.8,88.0,89.65,4884752.0,91.01,87.8833,,HOLD,持仓,
信达生物,港股,2025-11-20,90.5,92.2,89.65,92.2,9059262.0,91.06,88.65,,HOLD,持仓,
信达生物,港股,2025-11-21,91.5,91.5,86.0,87.25,11615810.0,90.06,88.6667,,HOLD,持仓,
信达生物,港股,2025-11-24,88.95,92.0,88.55,92.0,17192272.0,90.3,88.7867,,HOLD,持仓,
信达生物,港股,2025-11-25,93.0,95.8,92.0,93.8,13230456.0,90.98,89.25,,HOLD,持仓,
信达生物,港股,2025-11-26,96.8,98.3,94.4,94.9,11531925.0,92.03,89.7067,,HOLD,持仓,
信达生物,港股,2025-11-27,96.2,99.0,95.1,96.2,10784385.0,92.83,90.2333,,HOLD,持仓,
信达生物,港股,2025-11-28,96.2,96.65,93.1,94.1,11052465.0,94.2,90.8267,,HOLD,持仓,
信达生物,港股,2025-12-01,94.5,94.8,93.2,94.8,6740710.0,94.76,91.5133,,HOLD,持仓,
信达生物,港股,2025-12-02,94.55,94.95,92.85,93.85,6694319.0,94.77,92.0867,,HOLD,持仓,
信达生物,港股,2025-12-03,93.85,94.8,91.25,91.8,8259347.0,94.15,92.3967,,HOLD,持仓,
信达生物,港股,2025-12-04,94.0,94.4,92.4,93.55,7142030.0,93.62,92.5033,,HOLD,持仓,
信达生物,港股,2025-12-05,93.7,94.85,90.25,92.0,33885838.0,93.2,92.4867,,HOLD,持仓,
信达生物,港股,2025-12-08,93.0,93.15,84.1,85.6,52658037.0,91.36,92.14,死叉,SELL,空仓,→ 次日(2025-12-09)开盘卖出 @ 85.6 (盈亏: -1.83%)
信达生物,港股,2025-12-09,85.6,85.7,82.8,84.4,20002924.0,89.47,91.74,,HOLD,空仓,
信达生物,港股,2025-12-10,84.4,85.4,82.65,83.5,10285264.0,87.81,91.33,,HOLD,空仓,
信达生物,港股,2025-12-11,84.2,84.85,83.0,83.65,8646635.0,85.83,90.76,,HOLD,空仓,
信达生物,港股,2025-12-12,84.5,85.95,83.0,85.2,10184978.0,84.47,90.6233,,HOLD,空仓,
信达生物,港股,2025-12-15,84.6,85.15,80.95,81.75,15465505.0,83.7,89.94,,HOLD,空仓,
信达生物,港股,2025-12-16,81.3,81.85,78.45,80.95,11805859.0,83.01,89.0833,,HOLD,空仓,
信达生物,港股,2025-12-17,81.0,81.3,79.6,80.75,7785810.0,82.46,88.14,,HOLD,空仓,
信达生物,港股,2025-12-18,80.15,81.6,79.65,81.55,10160976.0,82.04,87.1633,,HOLD,空仓,
信达生物,港股,2025-12-19,81.9,84.4,80.8,83.25,13042014.0,81.65,86.44,,HOLD,空仓,
信达生物,港股,2025-12-22,83.25,83.85,81.05,81.8,9167416.0,81.66,85.5733,,HOLD,空仓,
信达生物,港股,2025-12-23,81.8,83.25,80.35,80.7,8972819.0,81.61,84.6967,,HOLD,空仓,
信达生物,港股,2025-12-24,80.7,81.1,79.8,80.75,3928757.0,81.61,83.96,,HOLD,空仓,
信达生物,港股,2025-12-29,80.75,81.25,79.0,79.35,10784440.0,81.17,83.0133,,HOLD,空仓,
信达生物,港股,2025-12-30,79.35,79.5,77.4,79.15,11778029.0,80.35,82.1567,,HOLD,空仓,
信达生物,港股,2025-12-31,79.15,79.25,76.0,76.25,13130813.0,79.24,81.5333,,HOLD,空仓,
信达生物,港股,2026-01-02,77.4,79.0,76.75,78.8,3960839.0,78.86,81.16,,HOLD,空仓,
信达生物,港股,2026-01-05,76.8,84.3,76.8,83.6,18244634.0,79.43,81.1667,,HOLD,空仓,
信达生物,港股,2026-01-06,83.8,84.9,82.9,84.5,12921050.0,80.46,81.2233,,HOLD,空仓,
信达生物,港股,2026-01-07,85.1,89.5,84.3,89.05,19915882.0,82.44,81.48,金叉,BUY,持仓,→ 次日(2026-01-08)开盘买入 @ 89.8
信达生物,港股,2026-01-08,89.8,90.8,88.4,89.0,14333754.0,84.99,81.9633,,HOLD,持仓,
信达生物,港股,2026-01-09,87.9,89.7,87.25,89.3,10355540.0,87.09,82.52,,HOLD,持仓,
信达生物,港股,2026-01-12,89.2,90.45,88.0,89.45,13377301.0,88.26,83.1,,HOLD,持仓,
信达生物,港股,2026-01-13,90.6,92.75,88.2,89.35,15968502.0,89.23,83.62,,HOLD,持仓,
信达生物,港股,2026-01-14,90.0,91.85,88.4,89.45,9961587.0,89.31,84.0333,,HOLD,持仓,
信达生物,港股,2026-01-15,90.85,91.45,88.4,89.0,11496890.0,89.31,84.5133,,HOLD,持仓,
信达生物,港股,2026-01-16,89.05,90.45,88.35,89.5,6745760.0,89.35,85.1,,HOLD,持仓,
信达生物,港股,2026-01-19,88.2,89.35,83.6,85.35,14220211.0,88.53,85.4067,,HOLD,持仓,
