name,market,date,open,high,low,close,volume,amount,currency
君实生物,A股,2025-09-08,48.7,48.92,47.01,47.53,18123230.0,867450000.0,CNY
君实生物,A股,2025-09-09,47.7,51.4,46.81,48.26,26839482.0,1323200000.0,CNY
君实生物,A股,2025-09-10,48.5,50.23,47.09,48.5,20977748.0,1017590000.0,CNY
君实生物,A股,2025-09-11,45.88,47.92,43.44,47.73,28063995.0,1291670000.0,CNY
君实生物,A股,2025-09-12,48.16,49.3,47.08,48.8,23621048.0,1143930000.0,CNY
君实生物,A股,2025-09-15,48.48,48.98,47.27,47.43,17625420.0,846620000.0,CNY
君实生物,A股,2025-09-16,47.49,47.7,46.25,46.82,13613636.0,637730000.0,CNY
君实生物,A股,2025-09-17,46.83,46.83,45.54,45.64,15294847.0,704290000.0,CNY
君实生物,A股,2025-09-18,45.98,47.05,44.95,45.73,19691029.0,909290000.0,CNY
君实生物,A股,2025-09-19,45.7,45.95,43.7,44.0,18982010.0,846780000.0,CNY
君实生物,A股,2025-09-22,44.05,44.66,42.91,43.43,13380281.0,581790000.0,CNY
君实生物,A股,2025-09-23,43.45,43.45,40.6,41.58,18092724.0,754640000.0,CNY
君实生物,A股,2025-09-24,41.4,41.87,40.96,41.67,14980223.0,620850000.0,CNY
君实生物,A股,2025-09-25,41.7,43.6,41.7,42.78,14547180.0,623050000.0,CNY
君实生物,A股,2025-09-26,42.35,42.57,41.0,41.0,12532962.0,520780000.0,CNY
君实生物,A股,2025-09-29,41.2,41.2,40.01,41.09,13101108.0,531110000.0,CNY
君实生物,A股,2025-09-30,41.01,41.77,41.01,41.46,8597859.0,356600000.0,CNY
君实生物,A股,2025-10-09,41.7,41.85,40.58,41.06,11884392.0,488080000.0,CNY
君实生物,A股,2025-10-10,40.8,41.42,39.51,39.61,13588039.0,547770000.0,CNY
君实生物,A股,2025-10-13,38.01,39.64,37.9,38.91,12656216.0,491320000.0,CNY
君实生物,A股,2025-10-14,39.11,39.58,37.58,37.67,13033332.0,500770000.0,CNY
君实生物,A股,2025-10-15,37.95,38.85,37.51,38.43,9722398.0,372020000.0,CNY
君实生物,A股,2025-10-16,38.22,40.0,38.11,38.88,13027382.0,509500000.0,CNY
君实生物,A股,2025-10-17,40.5,40.97,38.8,38.8,12995439.0,513000000.0,CNY
君实生物,A股,2025-10-20,38.81,39.5,38.35,38.67,9050497.0,351490000.0,CNY
君实生物,A股,2025-10-21,38.55,39.18,38.36,38.99,8132462.0,315830000.0,CNY
君实生物,A股,2025-10-22,39.0,39.86,38.38,38.54,8307455.0,323620000.0,CNY
君实生物,A股,2025-10-23,38.24,38.48,36.84,37.51,12973275.0,484950000.0,CNY
君实生物,A股,2025-10-24,37.55,38.23,37.55,37.78,7241758.0,274010000.0,CNY
君实生物,A股,2025-10-27,38.1,39.19,38.09,38.73,10457571.0,405920000.0,CNY
君实生物,A股,2025-10-28,38.8,38.95,38.41,38.63,6668638.0,257810000.0,CNY
君实生物,A股,2025-10-29,38.11,39.1,37.36,38.96,11307394.0,432100000.0,CNY
君实生物,A股,2025-10-30,38.8,38.8,38.01,38.17,7582862.0,290740000.0,CNY
君实生物,A股,2025-10-31,38.38,40.4,38.2,40.37,17184105.0,683220000.0,CNY
君实生物,A股,2025-11-03,40.6,40.9,39.6,40.25,13838306.0,556410000.0,CNY
君实生物,A股,2025-11-04,40.24,40.24,38.76,39.06,9982655.0,392230000.0,CNY
君实生物,A股,2025-11-05,38.76,39.5,38.34,38.82,7724150.0,300240000.0,CNY
君实生物,A股,2025-11-06,39.02,39.09,38.27,38.53,6524767.0,251340000.0,CNY
君实生物,A股,2025-11-07,38.52,38.62,37.79,37.79,7667570.0,291970000.0,CNY
君实生物,A股,2025-11-10,37.64,38.53,37.55,38.39,6181346.0,235530000.0,CNY
君实生物,A股,2025-11-11,38.39,38.56,37.95,38.1,4854701.0,185110000.0,CNY
君实生物,A股,2025-11-12,38.15,38.84,38.1,38.29,7436595.0,286260000.0,CNY
