name,market,date,open,high,low,close,volume,amount,currency,MA5,MA15,ma_signal
恒瑞医药,港股,2025-07-31,79.122,81.572,77.072,78.622,6729800.0,533053164.1,HKD,78.332,74.1553,
恒瑞医药,港股,2025-08-01,79.572,80.272,74.772,74.872,5071542.0,391744218.1,HKD,79.742,74.3487,
恒瑞医药,港股,2025-08-04,74.072,79.222,72.972,78.772,6206611.0,478373103.9,HKD,78.592,74.6387,
恒瑞医药,港股,2025-08-05,79.472,80.972,78.272,80.772,3943580.0,315960679.3,HKD,78.432,75.242,
恒瑞医药,港股,2025-08-06,80.772,81.622,79.122,80.272,2861264.0,229863087.5,HKD,78.662,75.9253,
恒瑞医药,港股,2025-08-07,80.172,80.422,76.822,78.572,2663869.0,209059726.8,HKD,78.652,76.3987,
恒瑞医药,港股,2025-08-08,78.672,78.672,74.572,76.472,4456647.0,338943422.9,HKD,78.972,76.6453,
恒瑞医药,港股,2025-08-11,77.272,78.372,75.772,77.372,2839200.0,219350910.0,HKD,78.692,76.992,
恒瑞医药,港股,2025-08-12,77.372,77.672,74.172,75.122,4394180.0,331234324.1,HKD,77.562,77.2253,
恒瑞医药,港股,2025-08-13,75.422,78.772,75.272,78.572,5315607.0,411925367.55,HKD,77.222,77.6787,死叉
恒瑞医药,港股,2025-08-14,79.672,79.772,77.372,79.072,6099586.0,480536279.2,HKD,77.322,78.102,
恒瑞医药,港股,2025-08-15,79.072,81.822,78.372,81.822,8109863.0,654505082.6,HKD,78.392,79.0353,
恒瑞医药,港股,2025-08-18,81.872,83.672,80.072,83.272,5752240.0,471255156.2,HKD,79.572,78.952,金叉
恒瑞医药,港股,2025-08-19,83.572,84.272,78.122,78.772,10729454.0,861897594.6,HKD,80.302,78.7653,
恒瑞医药,港股,2025-08-20,78.772,79.122,75.922,78.322,7448820.0,579238265.55,HKD,80.252,78.712,
恒瑞医药,港股,2025-08-21,79.272,80.772,76.672,77.522,5731628.0,448574449.85,HKD,79.942,78.6387,
恒瑞医药,港股,2025-08-22,77.472,77.872,75.622,76.172,5623800.0,431436162.2,HKD,78.812,78.7253,
恒瑞医药,港股,2025-08-25,76.472,77.772,74.572,77.722,9676710.0,736514465.5,HKD,77.702,78.6553,死叉
恒瑞医药,港股,2025-08-26,78.272,78.272,75.472,75.522,3750850.0,287510108.0,HKD,77.052,78.3053,
恒瑞医药,港股,2025-08-27,75.472,75.972,71.872,72.272,7015337.0,517702965.95,HKD,75.842,77.772,
恒瑞医药,港股,2025-08-28,72.772,73.272,70.272,72.422,4817700.0,346913965.2,HKD,74.822,77.362,
恒瑞医药,港股,2025-08-29,73.572,76.772,72.622,75.972,7017801.0,530209085.15,HKD,74.782,77.3287,
恒瑞医药,港股,2025-09-01,77.272,79.372,76.972,79.272,6601646.0,520045430.25,HKD,75.092,77.4553,
恒瑞医药,港股,2025-09-02,80.572,82.272,79.272,80.272,6391207.0,517248507.85,HKD,76.042,77.7987,
恒瑞医药,港股,2025-09-03,80.272,87.222,80.272,86.972,12294992.0,1051913805.1,HKD,78.982,78.3587,金叉
恒瑞医药,港股,2025-09-04,86.072,86.072,79.522,81.122,6550315.0,536960272.6,HKD,80.722,78.4953,
恒瑞医药,港股,2025-09-05,81.222,86.122,81.222,85.972,6780999.0,571771434.9,HKD,82.722,78.772,
恒瑞医药,港股,2025-09-08,85.972,87.072,84.672,85.972,3556568.0,304802021.7,HKD,84.062,78.952,
恒瑞医药,港股,2025-09-09,85.772,87.772,84.122,84.672,3399980.0,291058213.4,HKD,84.942,79.3453,
恒瑞医药,港股,2025-09-10,84.772,86.972,84.372,85.472,3834389.0,328915847.4,HKD,84.642,79.822,
恒瑞医药,港股,2025-09-11,79.772,83.922,76.772,82.872,12941440.0,1037634783.8,HKD,84.992,80.1787,
恒瑞医药,港股,2025-09-12,83.072,84.922,82.422,82.872,8981031.0,749562954.95,HKD,84.372,80.6253,
