name,market,date,open,high,low,close,volume,amount,currency,MA5,MA15,ma_signal
君实生物,港股,2025-12-12,23.6,24.36,23.22,24.0,3707600.0,88829643.0,HKD,23.66,24.164,
君实生物,港股,2025-12-15,24.36,25.14,23.64,23.82,5288200.0,128924022.4,HKD,23.672,24.1653,
君实生物,港股,2025-12-16,23.9,23.92,22.38,23.08,3084818.0,70622965.4,HKD,23.58,24.0773,
君实生物,港股,2025-12-17,22.98,23.12,22.3,22.98,2320634.0,52706984.7,HKD,23.476,23.9307,
君实生物,港股,2025-12-18,22.72,23.02,22.38,22.48,1953856.0,44185701.8,HKD,23.272,23.7333,
君实生物,港股,2025-12-19,22.48,23.72,22.22,23.24,2941400.0,68098673.0,HKD,23.12,23.5947,
君实生物,港股,2025-12-22,23.68,23.68,22.94,23.1,1858755.0,43243722.2,HKD,22.976,23.4827,
君实生物,港股,2025-12-23,23.38,24.0,22.72,23.48,2457200.0,58074864.4,HKD,23.056,23.4467,
君实生物,港股,2025-12-24,23.3,23.72,22.5,22.56,1389975.0,31980404.12,HKD,22.972,23.3707,
君实生物,港股,2025-12-29,22.6,22.94,22.02,22.04,2675400.0,59877004.0,HKD,22.884,23.2427,
君实生物,港股,2025-12-30,22.24,22.26,21.3,21.58,3758600.0,81031323.0,HKD,22.552,23.1107,
君实生物,港股,2025-12-31,21.62,21.72,21.08,21.34,2264400.0,48153606.0,HKD,22.2,22.9493,
君实生物,港股,2026-01-02,21.3,22.48,21.3,22.28,907400.0,20107512.0,HKD,21.96,22.8653,
君实生物,港股,2026-01-05,21.96,23.3,21.4,22.88,4156000.0,94195785.0,HKD,22.024,22.824,
君实生物,港股,2026-01-06,22.9,23.22,22.6,23.22,2541600.0,58316568.0,HKD,22.26,22.8053,
君实生物,港股,2026-01-07,23.34,24.1,23.22,24.02,3811400.0,90732064.8,HKD,22.748,22.8067,
君实生物,港股,2026-01-08,24.0,24.38,23.8,23.96,2550000.0,61369140.0,HKD,23.272,22.816,金叉
君实生物,港股,2026-01-09,24.2,25.38,23.68,25.16,3842004.0,94813471.68,HKD,23.848,22.9547,
君实生物,港股,2026-01-12,25.0,26.2,24.44,24.86,4194200.0,104590887.0,HKD,24.244,23.08,
君实生物,港股,2026-01-13,25.38,25.8,24.06,24.06,5578400.0,138707268.0,HKD,24.412,23.1853,
君实生物,港股,2026-01-14,24.32,24.84,23.88,24.5,4093587.0,99852002.54,HKD,24.508,23.2693,
君实生物,港股,2026-01-15,24.5,25.1,23.96,24.12,3111800.0,75654780.0,HKD,24.54,23.3373,
君实生物,港股,2026-01-16,24.18,24.68,23.9,24.12,2457294.0,59499557.16,HKD,24.332,23.38,
君实生物,港股,2026-01-19,24.08,24.08,23.3,23.46,2569800.0,60352640.0,HKD,24.052,23.44,
君实生物,港股,2026-01-20,23.78,23.78,23.0,23.28,2327200.0,54026452.0,HKD,23.896,23.5227,
君实生物,港股,2026-01-21,23.08,23.5,22.92,23.26,2060200.0,47754704.0,HKD,23.648,23.6347,
君实生物,港股,2026-01-22,23.4,23.66,22.54,22.66,1645804.0,37548874.32,HKD,23.356,23.7227,死叉
君实生物,港股,2026-01-23,22.66,23.4,22.6,22.74,2242000.0,51434172.0,HKD,23.08,23.7533,
君实生物,港股,2026-01-26,23.22,24.6,23.06,23.76,7505392.0,178544387.08,HKD,23.14,23.812,
君实生物,港股,2026-01-27,24.8,25.9,22.72,24.08,20079248.0,491667999.4,HKD,23.3,23.8693,
君实生物,港股,2026-01-28,24.42,24.42,22.82,22.86,8863000.0,206750445.0,HKD,23.22,23.792,
君实生物,港股,2026-01-29,22.92,22.94,22.0,22.14,5323592.0,118585023.92,HKD,23.116,23.6707,
君实生物,港股,2026-01-30,22.1,22.8,21.3,21.38,4249596.0,92583354.32,HKD,22.844,23.4187,
君实生物,港股,2026-02-02,21.38,21.66,20.3,20.5,4038996.0,84042982.2,HKD,22.192,23.128,
君实生物,港股,2026-02-03,20.56,21.08,20.22,20.74,3086592.0,63903735.12,HKD,21.524,22.9067,
君实生物,港股,2026-02-04,20.84,21.08,20.08,20.7,3899000.0,79876192.0,HKD,21.092,22.6533,
君实生物,港股,2026-02-05,20.7,21.0,20.34,20.88,1879992.0,38807446.4,HKD,20.84,22.4373,
君实生物,港股,2026-02-06,20.76,21.16,20.2,20.8,1590404.0,33071596.68,HKD,20.724,22.216,
君实生物,港股,2026-02-09,21.16,21.98,21.02,21.78,3135478.0,68100185.28,HKD,20.98,22.104,
君实生物,港股,2026-02-10,21.78,22.96,21.52,22.12,3136800.0,70238784.2,HKD,21.256,22.0267,
君实生物,港股,2026-02-11,22.14,22.78,21.48,21.52,1955694.0,42688940.76,HKD,21.42,21.9107,
君实生物,港股,2026-02-12,21.52,21.88,20.96,21.04,1340200.0,28375432.0,HKD,21.452,21.8027,
君实生物,港股,2026-02-13,21.0,21.42,20.9,21.42,1469596.0,31164045.6,HKD,21.576,21.7147,
君实生物,港股,2026-02-16,20.94,21.02,20.74,20.96,163000.0,3400699.8,HKD,21.412,21.528,
君实生物,港股,2026-02-20,20.96,21.98,20.86,21.88,586082.0,12735780.52,HKD,21.364,21.3813,
君实生物,港股,2026-02-23,21.88,22.28,21.7,21.84,710120.0,15554079.8,HKD,21.428,21.3133,金叉
君实生物,港股,2026-02-24,21.7,21.8,20.8,21.02,1295200.0,27294702.0,HKD,21.424,21.2387,
君实生物,港股,2026-02-25,21.34,21.44,21.06,21.26,745600.0,15842158.0,HKD,21.392,21.2307,
君实生物,港股,2026-02-26,21.46,21.46,20.2,20.22,2003200.0,41247324.0,HKD,21.244,21.212,
君实生物,港股,2026-02-27,20.22,20.84,20.22,20.48,1826788.0,37371652.72,HKD,20.964,21.1947,死叉
君实生物,港股,2026-03-02,20.2,20.2,19.09,19.17,3544000.0,68461028.8,HKD,20.43,21.0927,
君实生物,港股,2026-03-03,19.74,19.74,17.79,18.01,4619048.0,84382526.4,HKD,19.828,20.9013,
君实生物,港股,2026-03-04,17.81,18.25,17.58,17.93,2409800.0,43098942.0,HKD,19.162,20.71,
君实生物,港股,2026-03-05,18.36,18.74,18.2,18.47,2073400.0,38140712.0,HKD,18.812,20.4893,
君实生物,港股,2026-03-06,18.47,19.63,18.27,19.33,3830600.0,73880372.0,HKD,18.582,20.3033,
君实生物,港股,2026-03-09,18.9,19.05,18.36,18.96,2447800.0,45708352.0,HKD,18.54,20.1327,
君实生物,港股,2026-03-10,19.5,20.34,19.5,19.95,3740800.0,74687843.0,HKD,18.928,20.06,
君实生物,港股,2026-03-11,20.06,20.22,19.6,19.98,1699000.0,33909646.0,HKD,19.338,19.964,
君实生物,港股,2026-03-12,19.98,20.08,19.56,19.93,1491000.0,29497933.0,HKD,19.63,19.8953,
君实生物,港股,2026-03-13,19.9,20.06,19.32,20.06,1889000.0,37402846.0,HKD,19.776,19.774,金叉
