| date | open | last | high | low | volume | amount | exchange |
| 2026-06-09 | 6954.56 | 6943.6 | 6965.23 | 6859.45 | 95303 | 32505820000 | 0.96 |
| 2026-06-08 | 7024.43 | 6957.13 | 7091.71 | 6880.37 | 108250 | 33176230000 | 1.09 |
| 2026-06-05 | 7134.27 | 7093.89 | 7212.71 | 7076.35 | 102989 | 34452970000 | 1.04 |
| 2026-06-04 | 7139.88 | 7068.82 | 7178.75 | 7043.92 | 103398 | 29768720000 | 1.04 |
| 2026-06-03 | 7255.88 | 7164.51 | 7255.88 | 7151.15 | 107328 | 33614150000 | 1.08 |
| 2026-06-02 | 7347.26 | 7281.57 | 7347.26 | 7243.43 | 99622 | 34825350000 | 1 |
| 2026-06-01 | 7418.16 | 7362.28 | 7501.91 | 7336 | 122262 | 44361150000 | 1.23 |
| 2026-05-29 | 7323.27 | 7426.68 | 7518.59 | 7311.77 | 146042 | 49322010000 | 1.47 |
| 2026-05-28 | 7433.15 | 7323.32 | 7454.8 | 7284.2 | 119846 | 36863330000 | 1.21 |
| 2026-05-27 | 7459.02 | 7465.77 | 7508.45 | 7334.04 | 120032 | 40891930000 | 1.21 |
| 2026-05-26 | 7464.08 | 7484.57 | 7510.77 | 7423.93 | 116398 | 37609240000 | 1.17 |
| 2026-05-25 | 7502.37 | 7486.82 | 7533.88 | 7429.72 | 113731 | 37654860000 | 1.15 |
| 2026-05-22 | 7647.37 | 7528.84 | 7652.96 | 7515.31 | 117775 | 40715530000 | 1.19 |
| 2026-05-21 | 7587.1 | 7617.91 | 7801.22 | 7587.1 | 150817 | 53738510000 | 1.52 |
| 2026-05-20 | 7613.32 | 7577.35 | 7634.9 | 7521.58 | 125816 | 35644860000 | 1.27 |
| 2026-05-19 | 7610.12 | 7629.94 | 7690.9 | 7578.72 | 130575 | 34429030000 | 1.32 |
| 2026-05-18 | 7737.95 | 7608.29 | 7739.77 | 7576.49 | 124482 | 37854380000 | 1.25 |
| 2026-05-15 | 7832.47 | 7763.08 | 7881.22 | 7728.29 | 136530 | 40192540000 | 1.38 |
| 2026-05-14 | 8012.7 | 7823.35 | 8073.1 | 7823.35 | 150799 | 47474110000 | 1.52 |
| 2026-05-13 | 8062.96 | 8005.33 | 8082.36 | 7956.99 | 145828 | 48144870000 | 1.47 |
| 2026-05-12 | 8050.88 | 8073.92 | 8202.9 | 8001.07 | 183792 | 61981370000 | 1.85 |
| 2026-05-11 | 7957.07 | 8088 | 8103.74 | 7892.86 | 214613 | 60150820000 | 2.16 |
| 2026-05-08 | 8034.09 | 7958.9 | 8043.3 | 7952.4 | 140979 | 41010720000 | 1.42 |
| 2026-05-07 | 8035.1 | 8036.56 | 8066.84 | 7997.29 | 159875 | 44236990000 | 1.61 |
| 2026-05-06 | 8033.16 | 8008.68 | 8033.16 | 7984.22 | 135517 | 47286830000 | 1.37 |
| 2026-04-30 | 8055.8 | 8015.93 | 8094.27 | 8006.56 | 148137 | 43326290000 | 1.49 |
| 2026-04-29 | 8027.22 | 8062.85 | 8102.34 | 8016.21 | 120846 | 48098970000 | 1.22 |
| 2026-04-28 | 8032.87 | 8044.23 | 8144.43 | 8023.26 | 144446 | 46704070000 | 1.46 |
| 2026-04-27 | 7942.57 | 7925.63 | 7946.35 | 7892.3 | 109123 | 35392690000 | 1.10 |
| 2026-04-24 | 7943.68 | 7962.77 | 8018.31 | 7897.38 | 129783 | 39516920000 | 1.31 |
| 2026-04-23 | 7992.4 | 7974.43 | 8047.02 | 7924.27 | 130528 | 44606720000 | 1.32 |
| 2026-04-22 | 7926.77 | 7985.89 | 7988.36 | 7905.04 | 91696 | 31497290000 | 0.92 |
| 2026-04-21 | 7992.12 | 7953.55 | 8050.02 | 7931.27 | 87718 | 30199370000 | 0.88 |
| 2026-04-20 | 8004.82 | 7995.1 | 8033.24 | 7964.33 | 106407 | 36531530000 | 1.07 |
| 2026-04-17 | 8153.43 | 8014.12 | 8153.43 | 7988.6 | 109206 | 41596670000 | 1.10 |
| 2026-04-16 | 8204.16 | 8186.5 | 8218.91 | 8128.13 | 107321 | 37420350000 | 1.08 |
| 2026-04-15 | 8213.04 | 8207.92 | 8243.4 | 8099.24 | 143435 | 49080640000 | 1.45 |
| 2026-04-14 | 8086.25 | 8113.71 | 8117.34 | 7989.01 | 103062 | 37159690000 | 1.04 |
| 2026-04-13 | 8096.9 | 8059.49 | 8117.52 | 8047.61 | 102518 | 35127560000 | 1.03 |
| 2026-04-10 | 8116.59 | 8140.24 | 8227.88 | 8095.47 | 111411 | 37030040000 | 1.12 |
| 2026-04-09 | 8144.62 | 8099.61 | 8218.81 | 8096.95 | 111568 | 39237340000 | 1.12 |
| 2026-04-08 | 8157.5 | 8197.94 | 8202.04 | 8062.05 | 132104 | 46322110000 | 1.33 |
| 2026-04-07 | 8064.34 | 8060.35 | 8155.17 | 7964.13 | 89605 | 33586850000 | 0.90 |
| 2026-04-03 | 8142.7 | 8063.2 | 8154.85 | 8031.92 | 102568 | 38839030000 | 1.03 |
| 2026-04-02 | 8209.21 | 8215.97 | 8280.73 | 8170.53 | 129123 | 50533660000 | 1.30 |
| 2026-04-01 | 8053.28 | 8225.67 | 8225.93 | 7992.1 | 141655 | 53261820000 | 1.43 |
| 2026-03-31 | 7997.06 | 7955.11 | 8124.19 | 7955.11 | 108896 | 42296240000 | 1.10 |
| 2026-03-30 | 7867.63 | 7989.07 | 8003.8 | 7866.14 | 111091 | 39354380000 | 1.12 |
| 2026-03-27 | 7608.94 | 7926.42 | 7939.47 | 7606.44 | 112367 | 40551870000 | 1.13 |
| 2026-03-26 | 7766.68 | 7665.83 | 7855.63 | 7650.27 | 88070 | 28547340000 | 0.89 |
| 2026-03-25 | 7775.22 | 7780.23 | 7808.69 | 7753.26 | 95045 | 29652500000 | 0.96 |
| 2026-03-24 | 7655.41 | 7726.94 | 7729.13 | 7624.1 | 97959 | 33499530000 | 0.99 |
| 2026-03-23 | 7749.26 | 7547.93 | 7749.26 | 7511.22 | 139877 | 41813360000 | 1.41 |
| 2026-03-20 | 7950.96 | 7857.35 | 8034.77 | 7857.35 | 102846 | 34195160000 | 1.04 |
| 2026-03-19 | 8009.85 | 7945.28 | 8052.41 | 7927.76 | 94743 | 31591730000 | 0.95 |
| 2026-03-18 | 8046.92 | 8068.09 | 8078.11 | 7998.98 | 79669 | 27762260000 | 0.80 |
| 2026-03-17 | 8021.64 | 8051.31 | 8173.02 | 8013.07 | 100604 | 35621140000 | 1.01 |
| 2026-03-16 | 7984.75 | 8019.26 | 8044.85 | 7935.47 | 95481 | 30491440000 | 0.96 |
| 2026-03-13 | 7989.18 | 7983.61 | 8035.74 | 7964.4 | 87307 | 27549070000 | 0.88 |
| 2026-03-12 | 8073.27 | 8013.84 | 8082.41 | 7985.91 | 94636 | 29797540000 | 0.95 |
| 2026-03-11 | 8090.27 | 8064.44 | 8098.71 | 8034.31 | 85274 | 28106350000 | 0.86 |
| 2026-03-10 | 7971.52 | 8085.32 | 8087.16 | 7971.52 | 88094 | 29573150000 | 0.89 |
